#separator:tab
#html:false
#notetype:N3 Vocab (drip)
#columns:Word	WordFurigana	Reading	Meaning	PartOfSpeech	Type	Sentence1	Sentence1EN	Sentence2	Sentence2EN	Sentence3	Sentence3EN	Note	Tags
#tags column:14
進歩	進歩[しんぽ]	しんぽ	progress	noun / suru-verb	noun	技術[ぎじゅつ]の 進歩[しんぽ]は 速[はや]い。	Technological progress is fast.	彼[かれ]の 日本語[にほんご]は 大[おお]きく 進歩[しんぽ]した。	His Japanese has progressed greatly.	医学[いがく]の 進歩[しんぽ]のおかげで、 多[おお]くの 命[いのち]が 救[すく]われている。	Thanks to progress in medicine, many lives are being saved.	進歩 = progress (skill/tech); 発展 = development (scale).	N3::day09 noun
発展	発展[はってん]	はってん	development; growth	noun / suru-verb	noun	この 町[まち]は 工業[こうぎょう] 都市[とし]として 発展[はってん]した。	This town developed as an industrial city.	会社[かいしゃ]の 発展[はってん]のために 頑張[がんば]ります。	I will work hard for the company's development.	話[はなし]が 思[おも]わぬ 方向[ほうこう]に 発展[はってん]した。	The conversation developed in an unexpected direction.	発展途上国 = developing country. 発達 = development of abilities or weather systems.	N3::day09 noun
輸入	輸入[ゆにゅう]	ゆにゅう	import	noun / suru-verb	noun	日本[にほん]は 石油[せきゆ]のほとんどを 輸入[ゆにゅう]している。	Japan imports most of its oil.	輸入品[ゆにゅうひん]は 値段[ねだん]が 高[たか]いことが 多[おお]い。	Imported goods are often expensive.	この 果物[くだもの]は 外国[がいこく]から 輸入[ゆにゅう]されたものだ。	This fruit was imported from abroad.	Pair: 輸入 ↔ 輸出. Reading ゆにゅう (not しゅにゅう).	N3::day09 noun
輸出	輸出[ゆしゅつ]	ゆしゅつ	export	noun / suru-verb	noun	日本[にほん]は 車[くるま]を 世界中[せかいじゅう]に 輸出[ゆしゅつ]している。	Japan exports cars all over the world.	輸出[ゆしゅつ]が 増[ふ]えると、 経済[けいざい]に 良[よ]い 影響[えいきょう]がある。	When exports increase, it has a good effect on the economy.	この 会社[かいしゃ]は 輸出[ゆしゅつ] 向[む]けの 製品[せいひん]を 作[つく]っている。	This company makes products for export.	Pair with 輸入. Kanji 輸 appears in both — learn once.	N3::day09 noun
生産	生産[せいさん]	せいさん	production	noun / suru-verb	noun	この 工場[こうじょう]では 車[くるま]を 生産[せいさん]している。	This factory produces cars.	米[こめ]の 生産量[せいさんりょう]が 減[へ]っている。	Rice production volume is decreasing.	生産[せいさん]コストを 下[さ]げる 必要[ひつよう]がある。	We need to lower production costs.	Pair: 生産 ↔ 消費. 国産 = domestically produced.	N3::day09 noun
消費	消費[しょうひ]	しょうひ	consumption	noun / suru-verb	noun	若者[わかもの]の 消費[しょうひ]が 減[へ]っているそうだ。	They say young people's consumption is falling.	この 車[くるま]はガソリンの 消費[しょうひ]が 少[すく]ない。	This car consumes little gasoline.	消費税[しょうひぜい]が 上[あ]がると、 生活[せいかつ]が 苦[くる]しくなる。	When the consumption tax rises, life gets harder.	消費者 = consumer; 消費期限 = use-by date (on food).	N3::day09 noun
販売	販売[はんばい]	はんばい	sales; selling	noun / suru-verb	noun	この 商品[しょうひん]はコンビニでも 販売[はんばい]されている。	This product is also sold at convenience stores.	チケットの 販売[はんばい]は 明日[あした]から 始[はじ]まります。	Ticket sales start tomorrow.	インターネット 販売[はんばい]が 増[ふ]えている。	Online sales are increasing.	販売 = selling (activity); 発売 = release of a product. Both on signs everywhere.	N3::day09 noun
募集	募集[ぼしゅう]	ぼしゅう	recruitment; wanted	noun / suru-verb	noun	あの 店[みせ]はアルバイトを 募集[ぼしゅう]している。	That shop is recruiting part-timers.	参加者[さんかしゃ]を 募集[ぼしゅう] 中[ちゅう]です。	We are currently recruiting participants.	意見[いけん]を 募集[ぼしゅう]します。	We invite your opinions.	スタッフ募集 signs on every shop. Pair with 応募.	N3::day09 noun
応募	応募[おうぼ]	おうぼ	application (in response to recruitment)	noun / suru-verb	noun	その 仕事[しごと]に 応募[おうぼ]することにした。	I decided to apply for that job.	コンテストに 応募[おうぼ]した 作品[さくひん]が 選[えら]ばれた。	The piece I entered in the contest was selected.	応募者[おうぼしゃ]が 多[おお]くて、 競争[きょうそう]が 激[はげ]しい。	There are many applicants and competition is fierce.	募集 (they recruit) ↔ 応募 (you apply). 申し込む = general sign-up.	N3::day09 noun
面接	面接[めんせつ]	めんせつ	interview (job)	noun / suru-verb	noun	明日[あした]、 会社[かいしゃ]の 面接[めんせつ]を 受[う]ける。	Tomorrow I have a job interview.	面接[めんせつ]では 自分[じぶん]の 経験[けいけん]をしっかり 伝[つた]えよう。	In the interview, communicate your experience well.	面接官[めんせつかん]の 質問[しつもん]に 落[お]ち 着[つ]いて 答[こた]えた。	I answered the interviewer's questions calmly.	面接を受ける = take an interview. インタビュー = media interview.	N3::day09 noun
禁止	禁止[きんし]	きんし	prohibition	noun / suru-verb	noun	ここは 駐車[ちゅうしゃ] 禁止[きんし]です。	Parking is prohibited here.	館内[かんない]では 写真[しゃしん] 撮影[さつえい]が 禁止[きんし]されている。	Photography is prohibited inside the building.	医者[いしゃ]にお 酒[さけ]を 禁止[きんし]された。	The doctor forbade me alcohol.	Sign language of Japan: 立入禁止 = no entry, 使用禁止 = do not use.	N3::day09 noun
許可	許可[きょか]	きょか	permission	noun / suru-verb	noun	上司[じょうし]の 許可[きょか]をもらってから 進[すす]めます。	I will proceed after getting my boss's permission.	ここに 入[はい]るには 許可[きょか]が 必要[ひつよう]です。	You need permission to enter here.	写真[しゃしん] 撮影[さつえい]は 許可[きょか]されています。	Photography is permitted.	Opposite of 禁止. 許す (ゆるす) = forgive/permit (verb).	N3::day09 noun
不足	不足[ふそく]	ふそく	shortage; lack	noun / suru-verb	noun	睡眠[すいみん] 不足[ぶそく]で 頭[あたま]が 働[はたら]かない。	My head is not working due to lack of sleep.	人手[ひとで]が 不足[ふそく]している。	We are short-handed.	説明[せつめい] 不足[ぶそく]で 誤解[ごかい]が 生[う]まれた。	A lack of explanation created a misunderstanding.	N＋不足 pattern everywhere: 寝不足, 運動不足, 人手不足. In compounds often read ぶそく.	N3::day09 noun
余裕	余裕[よゆう]	よゆう	leeway; room; composure	noun	noun	時間[じかん]に 余裕[よゆう]を 持[も]って 出発[しゅっぱつ]しよう。	Let us leave with time to spare.	今月[こんげつ]はお 金[かね]に 余裕[よゆう]がない。	I have no financial leeway this month.	彼[かれ]は 忙[いそが]しいのに 余裕[よゆう]がありそうに 見[み]える。	Even though he is busy, he looks composed.	Time, money, mental room — all 余裕. Spoken: 余裕！ = Easy!	N3::day09 noun
最中	最中[さいちゅう]	さいちゅう	in the middle of	noun	noun	食事[しょくじ]の 最中[さいちゅう]に 電話[でんわ]が 鳴[な]った。	The phone rang right in the middle of the meal.	会議[かいぎ]の 最中[さいちゅう]ですから、 後[あと]でかけ 直[なお]します。	We are in the middle of a meeting, so I will call back later.	試合[しあい]の 最中[さいちゅう]に 雨[あめ]が 降[ふ]り 出[だ]した。	It started raining in the middle of the match.	N3 grammar point: 〜最中に = right in the middle (often interrupted). Reading さいちゅう.	N3::day09 noun
当日	当日[とうじつ]	とうじつ	the day (of the event)	noun	noun	試験[しけん] 当日[とうじつ]は、 早[はや]めに 会場[かいじょう]に 行[い]きましょう。	On exam day, go to the venue early.	当日券[とうじつけん]は 販売[はんばい]しません。	Same-day tickets will not be sold.	詳[くわ]しいことは 当日[とうじつ]、お 知[し]らせします。	Details will be announced on the day.	Listening-section regular (event announcements). 前日 = day before; 翌日 = day after.	N3::day09 noun
喜ぶ	喜[よろこ]ぶ	よろこぶ	to be glad; to be delighted	v5 intransitive	verb	合格[ごうかく]の 知[し]らせを 聞[き]いて、 家族[かぞく]は 喜[よろこ]んだ。	Hearing the news of my passing, my family was delighted.	プレゼントをあげたら、とても 喜[よろこ]んでくれた。	When I gave the present, they were really pleased.	喜[よろこ]んでお 手伝[てつだ]いします。	I would be glad to help.	喜んで〜します = gladly (polite acceptance). Noun: 喜び.	N3::day09 verb
必ずしも	必[かなら]ずしも	かならずしも	not necessarily (with negative)	adverb	adv	高[たか]い 物[もの]が 必[かなら]ずしも 良[よ]いとは 限[かぎ]らない。	Expensive things are not necessarily good.	努力[どりょく]が 必[かなら]ずしも 成功[せいこう]につながるわけではない。	Effort does not necessarily lead to success.	その 方法[ほうほう]が 必[かなら]ずしも 正[ただ]しいとは 言[い]えない。	You cannot say that method is necessarily right.	Always with a negative pattern. Grammar and vocab sections both test it.	N3::day09 adv
決して	決[けっ]して	けっして	never; by no means (with negative)	adverb	adv	決[けっ]して 嘘[うそ]をつかないでください。	Never tell lies.	この 恩[おん]は 決[けっ]して 忘[わす]れません。	I will never forget this kindness.	決[けっ]して 簡単[かんたん]な 試験[しけん]ではないが、 合格[ごうかく]できる。	It is by no means an easy exam, but you can pass.	Always with a negative. Stronger than 絶対に in written tone.	N3::day09 adv
全く	全[まった]く	まったく	completely; (not) at all	adverb	adv	彼[かれ]の 言[い]っていることが 全[まった]く 分[わ]からない。	I do not understand what he is saying at all.	二人[ふたり]の 意見[いけん]は 全[まった]く 同[おな]じだった。	The two's opinions were exactly the same.	全[まった]くその 通[とお]りです。	That is exactly right.	With negative = not at all; positive = utterly. Spoken sigh: まったく… = honestly...	N3::day09 adv
しばらく	しばらく	しばらく	for a while	adverb	adv	しばらくお 待[ま]ちください。	Please wait a moment.	しばらく 会[あ]わないうちに、 彼[かれ]は 大人[おとな]っぽくなった。	In the while we did not meet, he became more grown-up.	しばらく 日本[にほん]を 離[はな]れることになりました。	I will be away from Japan for a while.	しばらくですね = it has been a while. Kana only.	N3::day09 adv
わざわざ	わざわざ	わざわざ	going out of one's way; specially	adverb	adv	わざわざ 駅[えき]まで 迎[むか]えに 来[き]てくれてありがとう。	Thanks for going out of your way to meet me at the station.	わざわざ 買[か]いに 行[い]かなくても、ネットで 注文[ちゅうもん]できるよ。	You do not have to make a special trip — you can order online.	遠[とお]い 所[ところ]をわざわざお 越[こ]しいただき、ありがとうございます。	Thank you for coming all this way.	Gratitude or no-need-to-bother. わざと = on purpose (deliberate) — different!	N3::day09 adv
随分	随分[ずいぶん]	ずいぶん	very; considerably	adverb	adv	随分[ずいぶん] 日本語[にほんご]が 上手[じょうず]になりましたね。	Your Japanese has gotten a lot better.	今日[きょう]は 随分[ずいぶん] 暖[あたた]かい。	It is considerably warm today.	随分[ずいぶん] 待[ま]ちましたか。	Did you wait long?	Often written ずいぶん. Feels like more than expected. かなり is more objective.	N3::day09 adv
貧しい	貧[まず]しい	まずしい	poor	i-adjective	adj	彼[かれ]は 貧[まず]しい 家庭[かてい]に 生[う]まれた。	He was born into a poor family.	貧[まず]しい 国[くに]への 支援[しえん]が 必要[ひつよう]だ。	Support for poor countries is needed.	心[こころ]まで 貧[まず]しくなってはいけない。	You must not become poor in spirit as well.	Opposite: 豊か. 貧乏 (びんぼう) is the casual noun/na-adjective.	N3::day10 adj
豊か	豊[ゆた]か	ゆたか	rich; abundant	na-adjective	adj	自然[しぜん]が 豊[ゆた]かな 町[まち]に 住[す]みたい。	I want to live in a town rich in nature.	彼[かれ]は 経験[けいけん]が 豊[ゆた]かだ。	He is rich in experience.	読書[どくしょ]は 心[こころ]を 豊[ゆた]かにする。	Reading enriches the mind.	豊富 (ほうふ) = abundant (supply/knowledge) is the harder cousin.	N3::day10 adj
親しい	親[した]しい	したしい	close; intimate	i-adjective	adj	彼[かれ]とは 高校[こうこう] 時代[じだい]から 親[した]しい。	He and I have been close since high school.	親[した]しい 友人[ゆうじん]だけを 結婚式[けっこんしき]に 呼[よ]んだ。	We invited only close friends to the wedding.	二人[ふたり]は 親[した]しくなった。	The two became close.	親 kanji but not family — closeness. 仲がいい is the spoken version.	N3::day10 adj
珍しい	珍[めずら]しい	めずらしい	rare; unusual	i-adjective	adj	今日[きょう]は 珍[めずら]しく 早[はや]く 起[お]きた。	Unusually for me, I got up early today.	この 鳥[とり]は 日本[にほん]では 珍[めずら]しい。	This bird is rare in Japan.	珍[めずら]しい 名前[なまえ]ですね。	That is an unusual name.	珍しく = uncharacteristically.	N3::day10 adj
怪しい	怪[あや]しい	あやしい	suspicious; doubtful	i-adjective	adj	家[いえ]の 前[まえ]に 怪[あや]しい 人[ひと]が 立[た]っている。	A suspicious person is standing in front of the house.	その 話[はなし]はどうも 怪[あや]しい。	That story is somehow fishy.	明日[あした]の 天気[てんき]は 怪[あや]しい。	Tomorrow's weather looks iffy.	People, stories, weather, memory — all can be 怪しい. 怪しいメール = phishing.	N3::day10 adj
悔しい	悔[くや]しい	くやしい	frustrating; vexing (after losing)	i-adjective	adj	一点[いってん] 差[さ]で 負[ま]けて、とても 悔[くや]しい。	We lost by one point — so frustrating.	悔[くや]しかったら、もっと 練習[れんしゅう]しなさい。	If you are frustrated, practice more.	あと 少[すこ]しで 合格[ごうかく]だったのに、 悔[くや]しい。	I was so close to passing — how vexing.	The sports-loss emotion; no clean English equivalent. Post-game interviews: 悔しいです！	N3::day10 adj
懐かしい	懐[なつ]かしい	なつかしい	nostalgic; dear (past)	i-adjective	adj	この 歌[うた]を 聞[き]くと、 学生[がくせい] 時代[じだい]が 懐[なつ]かしい。	Hearing this song makes me nostalgic for my student days.	懐[なつ]かしい 味[あじ]がする。	It has a nostalgic taste.	故郷[ふるさと]の 景色[けしき]が 懐[なつ]かしい。	I miss the scenery of my hometown.	Feeling toward the past. 懐かしい！ = spoken That takes me back!	N3::day10 adj
大人しい	大人[おとな]しい	おとなしい	quiet; gentle; well-behaved	i-adjective	adj	彼女[かのじょ]は 大人[おとな]しい 性格[せいかく]だ。	She has a quiet personality.	うちの 犬[いぬ]はとても 大人[おとな]しい。	Our dog is very gentle.	子[こ]どもたちは 大人[おとな]しく 待[ま]っていた。	The children waited quietly.	From 大人 (adult-like). For colours: 大人しい色 = subdued colour.	N3::day10 adj
苦しい	苦[くる]しい	くるしい	painful; hard; strained	i-adjective	adj	熱[ねつ]で 息[いき]が 苦[くる]しい。	It is hard to breathe because of the fever.	生活[せいかつ]が 苦[くる]しい 家庭[かてい]が 増[ふ]えている。	Households struggling to get by are increasing.	苦[くる]しいときこそ、 笑[わら]おう。	It is precisely in hard times that we should smile.	Physical and financial hardship. 苦しむ (v) = to suffer. 辛い is the emotional cousin.	N3::day10 adj
辛い	辛[つら]い	つらい	hard; painful (emotionally)	i-adjective	adj	家族[かぞく]と 離[はな]れて 暮[く]らすのは 辛[つら]い。	Living apart from family is hard.	辛[つら]いことがあったら、 話[はな]してください。	If something painful happens, please talk to me.	毎朝[まいあさ] 五時[ごじ]に 起[お]きるのは 辛[つら]い。	Getting up at five every morning is rough.	Same kanji as 辛い (からい, spicy)! Context decides. つらい = emotional/physical strain.	N3::day10 adj
新鮮	新鮮[しんせん]	しんせん	fresh	na-adjective	adj	この 市場[いちば]の 魚[さかな]は 新鮮[しんせん]だ。	The fish at this market is fresh.	朝[あさ]の 新鮮[しんせん]な 空気[くうき]を 吸[す]った。	I breathed the fresh morning air.	彼[かれ]の 意見[いけん]は 新鮮[しんせん]に 感[かん]じた。	His opinion felt fresh.	Food, air, and ideas can all be 新鮮.	N3::day10 adj
盛ん	盛[さか]ん	さかん	thriving; popular; active	na-adjective	adj	この 地方[ちほう]は 農業[のうぎょう]が 盛[さか]んだ。	Agriculture thrives in this region.	日本[にほん]では 野球[やきゅう]が 盛[さか]んです。	Baseball is very popular in Japan.	二国[にこく] 間[かん]の 交流[こうりゅう]が 盛[さか]んになってきた。	Exchange between the two countries has become active.	Pattern 〜では〜が盛んだ (region + industry/sport) is an exam favourite.	N3::day10 adj
適当	適当[てきとう]	てきとう	suitable; (also) half-hearted	na-adjective	adj	適当[てきとう]な 大[おお]きさに 切[き]ってください。	Please cut it to a suitable size.	彼[かれ]は 何[なん]でも 適当[てきとう]にやる。	He does everything half-heartedly.	適当[てきとう]な 言葉[ことば]が 見[み]つからない。	I cannot find the right word.	Two OPPOSITE meanings: proper/suitable (formal, tested on exam) and sloppy/random (spoken, used in life).	N3::day10 adj
単純	単純[たんじゅん]	たんじゅん	simple	na-adjective	adj	仕組[しく]みはとても 単純[たんじゅん]だ。	The mechanism is very simple.	単純[たんじゅん]な 計算[けいさん]ミスで 点[てん]を 落[お]とした。	I lost points on a simple calculation mistake.	彼[かれ]は 単純[たんじゅん]な 性格[せいかく]で、すぐ 信[しん]じる。	He has a simple nature and believes things right away.	Opposite: 複雑 (batch 1). About people it can be mildly negative.	N3::day10 adj
素直	素直[すなお]	すなお	honest; obedient; open-minded	na-adjective	adj	彼[かれ]は 素直[すなお]に 謝[あやま]った。	He apologized honestly.	素直[すなお]な 子[こ]どもですね。	What an obedient child.	人[ひと]の 意見[いけん]を 素直[すなお]に 聞[き]くことも 大切[たいせつ]だ。	It is also important to listen to others' opinions with an open mind.	Praised trait in Japan: accepts advice without resistance. 素直になれない = cannot be honest with one's feelings.	N3::day10 adj
熱心	熱心[ねっしん]	ねっしん	enthusiastic; eager	na-adjective	adj	彼女[かのじょ]は 熱心[ねっしん]に 日本語[にほんご]を 勉強[べんきょう]している。	She is studying Japanese eagerly.	熱心[ねっしん]な 先生[せんせい]のおかげで、 成績[せいせき]が 上[あ]がった。	Thanks to an enthusiastic teacher, my grades went up.	仕事[しごと]に 熱心[ねっしん]な 人[ひと]は 信頼[しんらい]される。	People who are dedicated to their work are trusted.	勉強熱心 = studious. 熱 = heat → enthusiasm cluster: 熱中する.	N3::day10 adj
積極的	積極的[せっきょくてき]	せっきょくてき	proactive; positive	na-adjective	adj	会議[かいぎ]では 積極的[せっきょくてき]に 発言[はつげん]しましょう。	Let us speak up proactively in meetings.	彼[かれ]は 何事[なにごと]にも 積極的[せっきょくてき]だ。	He is proactive about everything.	積極的[せっきょくてき]な 態度[たいど]が 評価[ひょうか]された。	His proactive attitude was appreciated.	Opposite: 消極的 (しょうきょくてき) = passive/reserved. Interview keyword.	N3::day10 adj
具体的	具体的[ぐたいてき]	ぐたいてき	concrete; specific	na-adjective	adj	もっと 具体的[ぐたいてき]に 説明[せつめい]してください。	Please explain more concretely.	具体的[ぐたいてき]な 例[れい]を 挙[あ]げましょう。	Let me give a concrete example.	計画[けいかく]はまだ 具体的[ぐたいてき]ではない。	The plan is not yet concrete.	Opposite: 抽象的 (N2). 具体例 = concrete example.	N3::day10 adj
一般的	一般的[いっぱんてき]	いっぱんてき	general; common; typical	na-adjective	adj	日本[にほん]では 一般的[いっぱんてき]に、 家[いえ]の 中[なか]で 靴[くつ]を 脱[ぬ]ぐ。	In Japan, people generally take off their shoes indoors.	それは 一般的[いっぱんてき]な 考[かんが]え 方[かた]です。	That is a common way of thinking.	この 名前[なまえ]は 女性[じょせい]に 一般的[いっぱんてき]だ。	This name is common among women.	一般 = the general public. 一般的に言えば = generally speaking.	N3::day10 adj
完全	完全[かんぜん]	かんぜん	complete; perfect	na-adjective	adj	けがは 完全[かんぜん]に 治[なお]った。	The injury has healed completely.	完全[かんぜん]な 答[こた]えはないかもしれない。	There may be no perfect answer.	準備[じゅんび]はまだ 完全[かんぜん]ではない。	Preparations are not yet complete.	完全に = completely (most common use). 不完全 = incomplete. 完璧 (かんぺき) = flawless.	N3::day10 adj
無駄	無駄[むだ]	むだ	waste; futile	na-adjective / noun	adj	時間[じかん]を 無駄[むだ]にしないでください。	Please do not waste time.	電気[でんき]の 無駄[むだ] 遣[づか]いをやめよう。	Let us stop wasting electricity.	努力[どりょく]は 無駄[むだ]にはならない。	Effort will not go to waste.	無駄遣い = wasteful spending. もったいない = what-a-waste feeling.	N3::day10 adj
順調	順調[じゅんちょう]	じゅんちょう	smooth; going well	na-adjective	adj	仕事[しごと]は 順調[じゅんちょう]に 進[すす]んでいます。	Work is progressing smoothly.	手術[しゅじゅつ]の 後[あと]、 回復[かいふく]は 順調[じゅんちょう]だ。	After the surgery, recovery is going well.	全[すべ]てが 順調[じゅんちょう]というわけではない。	Not everything is going smoothly.	Status-report word: 順調です = on track. 調子がいい is the spoken version.	N3::day10 adj
主に	主[おも]に	おもに	mainly	adverb	adv	この 教室[きょうしつ]では、 主[おも]に 会話[かいわ]を 練習[れんしゅう]する。	In this class, we mainly practice conversation.	客[きゃく]は 主[おも]に 近所[きんじょ]の 人[ひと]たちだ。	The customers are mainly people from the neighborhood.	彼[かれ]は 主[おも]にデータの 分析[ぶんせき]を 担当[たんとう]している。	He is mainly in charge of data analysis.	From 主な (main). 主な原因 = main cause.	N3::day10 adv
普段	普段[ふだん]	ふだん	usually; everyday	noun / adverb	adv	普段[ふだん]は 七時[しちじ]に 起[お]きます。	I usually get up at seven.	普段[ふだん]から 準備[じゅんび]しておけば、 慌[あわ]てない。	If you prepare regularly, you will not panic.	普段着[ふだんぎ]のままパーティーに 行[い]った。	I went to the party in my everyday clothes.	普段 = one's usual routine; 普通 = normal in general. 普段から = on a regular basis.	N3::day10 adv
多少	多少[たしょう]	たしょう	somewhat; a little	adverb / noun	adv	多少[たしょう] 高[たか]くても、いい 物[もの]を 買[か]いたい。	Even if it is somewhat expensive, I want to buy good things.	日本語[にほんご]は 多少[たしょう] 話[はな]せます。	I can speak Japanese a little.	多少[たしょう]の 失敗[しっぱい]は 気[き]にしない。	I do not worry about minor failures.	Humble-sounding a-bit. Literally 多+少. 少々 = polite a-moment/a-little.	N3::day10 adv
様子	様子[ようす]	ようす	state; appearance; the way things look	noun	noun	外[そと]の 様子[ようす]を 見[み]てきます。	I will go check how things look outside.	彼[かれ]は 朝[あさ]から 様子[ようす]がおかしい。	He has been acting strange since morning.	しばらく 様子[ようす]を 見[み]ましょう。	Let us wait and see for a while.	様子を見る = wait and see (doctor phrase too). Extremely common in listening.	N3::day11 noun
出来事	出来事[できごと]	できごと	event; happening	noun	noun	今日[きょう]あった 出来事[できごと]を 日記[にっき]に 書[か]いた。	I wrote the day's events in my diary.	それは 十年前[じゅうねんまえ]の 出来事[できごと]だ。	That happened ten years ago.	世界[せかい]の 出来事[できごと]に 関心[かんしん]を 持[も]とう。	Let us take an interest in world events.	Neutral happenings. 事件 = incident (crime/trouble nuance).	N3::day11 noun
事件	事件[じけん]	じけん	incident; case (crime)	noun	noun	近所[きんじょ]で 事件[じけん]が 起[お]きた。	An incident occurred in the neighborhood.	警察[けいさつ]はその 事件[じけん]を 調[しら]べている。	The police are investigating the case.	事件[じけん]の 現場[げんば]には 入[はい]れません。	You cannot enter the scene of the incident.	事件 = crime/incident; 事故 = accident. News-Japanese pair.	N3::day11 noun
筆者	筆者[ひっしゃ]	ひっしゃ	the author; the writer (of this text)	noun	noun	筆者[ひっしゃ]の 考[かんが]えに 合[あ]うものはどれか。	Which one matches the author's thinking?	筆者[ひっしゃ]は 若者[わかもの]の 読書[どくしょ]について 述[の]べている。	The author discusses young people's reading habits.	筆者[ひっしゃ]が 最[もっと]も 言[い]いたいことは 何[なん]ですか。	What does the author most want to say?	THE reading-section word — every N3 passage question uses it. 作者 = author of creative works.	N3::day11 noun
場面	場面[ばめん]	ばめん	scene; situation	noun	noun	映画[えいが]の 最後[さいご]の 場面[ばめん]で 泣[な]いてしまった。	I cried at the last scene of the movie.	敬語[けいご]は 場面[ばめん]によって 使[つか]い 分[わ]ける。	Polite language is used differently depending on the situation.	こういう 場面[ばめん]では 何[なん]と 言[い]えばいいですか。	What should I say in this kind of situation?	Movie scenes and social situations. 場面によって = depending on the situation.	N3::day11 noun
作品	作品[さくひん]	さくひん	work (of art, writing)	noun	noun	美術館[びじゅつかん]で 有名[ゆうめい]な 作品[さくひん]を 見[み]た。	I saw famous works at the art museum.	この 作家[さっか]の 作品[さくひん]はどれも 面白[おもしろ]い。	All of this writer's works are interesting.	コンテストに 作品[さくひん]を 出[だ]した。	I submitted a piece to the contest.	Art, novels, films — all 作品. 作家 = writer/artist.	N3::day11 noun
習慣	習慣[しゅうかん]	しゅうかん	habit; custom	noun	noun	毎朝[まいあさ] 走[はし]るのが 習慣[しゅうかん]になった。	Running every morning has become a habit.	国[くに]によって 食事[しょくじ]の 習慣[しゅうかん]が 違[ちが]う。	Eating customs differ by country.	早寝[はやね] 早起[はやお]きの 習慣[しゅうかん]をつけたい。	I want to build a habit of early to bed, early to rise.	Personal habit and cultural custom. Same sound as 週間 (week) — context decides!	N3::day11 noun
癖	癖[くせ]	くせ	(personal) habit; quirk	noun	noun	彼[かれ]は 髪[かみ]を 触[さわ]る 癖[くせ]がある。	He has a habit of touching his hair.	爪[つめ]を 噛[か]む 癖[くせ]を 直[なお]したい。	I want to fix my nail-biting habit.	癖[くせ]のある 字[じ]で 読[よ]みにくい。	The handwriting is quirky and hard to read.	癖 = unconscious personal habit (often negative); 習慣 = built routine.	N3::day11 noun
健康	健康[けんこう]	けんこう	health	noun / na-adjective	noun	健康[けんこう]のために、 毎日[まいにち] 歩[ある]いています。	I walk every day for my health.	たばこは 健康[けんこう]に 悪[わる]い。	Cigarettes are bad for your health.	健康[けんこう] 診断[しんだん]を 年[ねん]に 一回[いっかい] 受[う]けている。	I get a health checkup once a year.	健康診断 = the annual company checkup. 元気 = energetic (feeling); 健康 = health (state).	N3::day11 noun
命	命[いのち]	いのち	life	noun	noun	医者[いしゃ]は 多[おお]くの 命[いのち]を 救[すく]ってきた。	The doctor has saved many lives.	シートベルトが 命[いのち]を 守[まも]る。	Seatbelts protect lives.	命[いのち]より 大切[たいせつ]なものはない。	Nothing is more precious than life.	命に関わる = life-threatening. 人生 = life (lived); 生活 = daily life; 命 = life itself.	N3::day11 noun
笑顔	笑顔[えがお]	えがお	smile; smiling face	noun	noun	彼女[かのじょ]はいつも 笑顔[えがお]で 挨拶[あいさつ]する。	She always greets people with a smile.	子[こ]どもの 笑顔[えがお]を 見[み]ると 元気[げんき]が 出[で]る。	Seeing children's smiles gives me energy.	店員[てんいん]の 笑顔[えがお]が 印象[いんしょう]に 残[のこ]った。	The clerk's smile left an impression.	Special reading えがお (not わらいがお). 笑顔で = with a smile.	N3::day11 noun
涙	涙[なみだ]	なみだ	tears	noun	noun	感動[かんどう]して 涙[なみだ]が 出[で]た。	I was moved and tears came out.	彼女[かのじょ]は 涙[なみだ]を 拭[ふ]いて、また 笑[わら]った。	She wiped her tears and smiled again.	涙[なみだ]が 止[と]まらなかった。	The tears would not stop.	涙を流す = shed tears. 泣く is the verb; 涙 is the noun.	N3::day11 noun
汗	汗[あせ]	あせ	sweat	noun	noun	夏[なつ]は 少[すこ]し 歩[ある]くだけで 汗[あせ]が 出[で]る。	In summer, sweat comes out just from walking a little.	運動[うんどう]して 汗[あせ]をかいた。	I exercised and worked up a sweat.	冷[つめ]たい 汗[あせ]が 出[で]るほど 緊張[きんちょう]した。	I was so nervous I broke into a cold sweat.	Set phrase: 汗をかく (not 汗を出す). 汗をかくほど働く = work up a sweat.	N3::day11 noun
息	息[いき]	いき	breath	noun	noun	階段[かいだん]を 上[のぼ]ったら、 息[いき]が 切[き]れた。	After climbing the stairs, I was out of breath.	深[ふか]く 息[いき]を 吸[す]って、ゆっくり 吐[は]いてください。	Breathe in deeply and exhale slowly.	寒[さむ]くて 息[いき]が 白[しろ]く 見[み]える。	It is so cold you can see your breath.	息が切れる = out of breath. ため息 = a sigh.	N3::day11 noun
姿	姿[すがた]	すがた	figure; appearance; form	noun	noun	働[はたら]く 母[はは]の 姿[すがた]を 見[み]て 育[そだ]った。	I grew up watching my mother at work.	彼[かれ]は 急[きゅう]に 姿[すがた]を 消[け]した。	He suddenly disappeared.	着物[きもの] 姿[すがた]の 女性[じょせい]が 歩[ある]いている。	A woman in kimono is walking by.	姿を消す = vanish. 〜姿 = dressed in (着物姿, スーツ姿).	N3::day11 noun
